Title,Genre,Director,Year,Rating
The Shawshank Redemption,Drama,Frank Darabont,1994,9.3
The Godfather,Crime,Francis Ford Coppola,1972,9.2
The Dark Knight,Action,Christopher Nolan,2008,9.0
Pulp Fiction,Crime,Quentin Tarantino,1994,8.9
Forrest Gump,Drama,Robert Zemeckis,1994,8.8
